,Momentum,Value,Quality,Low-Vol,Composite
ABBV,-0.15554233085807762,-1.1177311391934026,9.071132484407169,0.3810539930173594,2.044728251843262
CMCSA,-0.8027931930370052,4.172489862591457,-0.13402294548851823,0.12501460601045344,0.8401720825190966
T,-0.24322031459294133,2.091644484521813,-0.1378034768919102,0.8353424274452093,0.6364907801205426
VZ,0.15012982214220733,1.1759489243620596,-0.13954240480566008,0.8566323370112962,0.5107921696774756
JNJ,1.0870249478551859,-0.32363694624355677,-0.1258654220138823,1.3538010307000201,0.49783090257444174
CAT,3.009680293806317,-0.7891181368779783,-0.10047887660627561,-0.21080594041193734,0.4773193349775315
PSX,1.8625796974496003,0.5201295889360152,-0.14217008288379399,-0.39869586436972904,0.4604608347830232
USB,0.29472231192714365,1.1167535166843805,-0.14673550603192886,0.3925041717344247,0.41431112357850497
XOM,1.171100503892146,-0.12080735750331627,-0.1486183538473732,0.698285592458847,0.39999009625007587
VLO,3.036589709919255,-0.5192543448012613,-0.15274607912373675,-0.8020614047220264,0.3906319703180577
MRK,0.8073082947856117,0.5378834536108167,-0.11033674964474076,0.2606831847773108,0.3738845458822496
MPC,1.8480537778226342,0.25618714369146867,-0.12916374258983576,-0.5648644226184474,0.35255318907645494
SPG,-0.002645871769492707,0.6576850191795907,-0.010590327194876707,0.6985581633080385,0.33575174588081497
AEP,0.1422827657424008,0.02532230471978463,-0.1465337199407064,1.3182296515958107,0.33482525052932244
CHTR,-1.731552668968242,5.061435585622495,-0.12424964777800893,-1.8696355010606425,0.3339994419539004
GIS,-1.4858990555834686,2.123656281052384,-0.1300569468985397,0.8122924667297867,0.32999818632504063
CVX,1.0638353712286077,-0.4060355771234857,-0.15433069808898067,0.7069771193941671,0.3026115538525771
DUK,-0.2377726816068068,0.035827433255436095,-0.15063177011112192,1.5548031427105207,0.30055653106200697
BAC,0.004527219372077099,0.8554549020981865,-0.14926674253806532,0.46631562072589877,0.29425774991452425
EOG,0.4201137147272168,0.6148831656277198,-0.14008989956050558,0.25135080072892474,0.286564445380839
D,-0.015009458089908938,0.21627885281656464,-0.15060654677553284,1.0050385669000097,0.26392535371278314
BRK-B,-0.9078279537966896,0.5045399147484104,-0.15050565343317648,1.4431303602067718,0.22233416693132904
HAL,2.18096065392892,-0.12536573852122157,-0.1433570648658297,-1.0298776570062667,0.2205900483839006
GS,0.8232390735929903,0.32688854612608664,-0.14341047750452804,-0.13070437052682063,0.21900319292193207
KO,-0.3481574590987184,-0.2486325196460026,-0.10078007290772178,1.5637290475434327,0.21653974897274747
JPM,-0.08501140128064458,0.5723322777337188,-0.14062997420351106,0.5091811913972223,0.21396802341169635
